residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1735,24414,111.1629,2.1299,-0.3777,0.9569,-0.2877
1737,24414,118.8274,2.0749,-0.3396,0.9765,-0.2877
1739,24414,126.2147,2.0326,-0.3103,0.9889,-0.2877
1741,24414,95.5464,2.2919,-0.4900,0.8916,-0.2877
1743,24414,141.6996,1.9626,-0.2618,1.0215,-0.2877
1745,24414,118.9477,2.0750,-0.3397,0.9518,-0.2877
1747,24414,118.9477,2.0750,-0.3397,0.9707,-0.2877
1749,24414,102.9959,2.2015,-0.4274,0.9420,-0.2877
1751,24414,111.1785,2.1300,-0.3778,0.9623,-0.2877
1753,24414,110.9964,2.1301,-0.3779,0.9453,-0.2877
1755,24414,126.3237,2.0299,-0.3084,0.9843,-0.2877
1757,24414,110.9964,2.1301,-0.3779,0.9439,-0.2877
1759,24414,125.9911,2.0329,-0.3105,0.9852,-0.2877
1761,24414,125.8034,2.0336,-0.3110,0.9859,-0.2877
