residue,max_run_1s,max_run_0s,hamming_weight,alternations,trailing_ones,tz_3n1,mod3,mod9,mod27,entropy,avg_odd_mult,count,avg_stopping_time,avg_v2,avg_peak
371,3,2,6,5,2,1,2,2,20,0.970951,0.945857,48828,114.878,1,9.52674e+007
373,3,1,6,7,1,5,1,4,22,0.970951,0.924459,48828,99.8805,5,7.61956e+007
375,3,1,7,5,3,1,0,6,24,0.881291,0.975551,48828,122.654,1,1.87935e+008
377,4,2,6,5,1,2,2,8,26,0.970951,1.00836,48828,137.904,2,1.25639e+009
379,4,1,7,5,2,1,1,1,1,0.881291,0.966142,48828,122.504,1,1.33081e+008
381,5,1,7,5,1,3,0,3,3,0.881291,0.968203,48828,115.032,3,9.18433e+007
383,7,1,8,3,7,1,2,5,5,0.721928,1.01146,48828,130.388,1,4.8155e+008
385,2,6,3,3,1,2,1,7,7,0.881291,0.946794,48828,115.089,2,9.70492e+007
387,2,5,4,3,2,1,0,0,9,0.970951,0.929988,48828,107.571,1,7.95555e+007
389,2,4,4,5,1,4,2,2,11,0.970951,0.95641,48828,115.063,4,9.5213e+007
391,3,4,5,3,3,1,1,4,13,1,0.959531,48828,107.571,1,7.95555e+007
393,2,3,4,5,1,2,0,6,15,0.970951,0.975591,48828,122.2,2,1.36004e+008
395,2,3,5,5,2,1,2,8,17,1,0.973374,48828,122.417,1,1.63367e+008
397,2,3,5,5,1,3,1,1,19,1,0.914399,48828,99.7108,3,7.72693e+007
399,4,3,6,3,4,1,0,3,21,0.970951,0.96666,48828,114.931,1,1.05712e+008
401,2,3,4,5,1,2,2,5,23,0.970951,0.920196,48828,107.691,2,8.14591e+007
403,2,2,5,5,2,1,1,7,25,1,0.951572,48828,107.691,1,8.14591e+007
405,2,2,5,7,1,6,0,0,0,1,0.925645,48828,99.7108,6,7.72693e+007
407,3,2,6,5,3,1,2,2,2,0.970951,0.979164,48828,115.117,1,9.87709e+007
409,2,2,5,5,1,2,1,4,4,1,0.946187,48828,115.117,2,9.87709e+007
411,2,2,6,5,2,1,0,6,6,0.970951,0.99329,48828,130.148,1,4.3334e+008
413,3,2,6,5,1,3,2,8,8,0.970951,0.993098,48828,130.035,3,3.53847e+008
415,5,2,7,3,5,1,1,1,10,0.881291,1.0081,48828,137.681,1,8.24308e+008
417,2,4,4,5,1,2,0,3,12,0.970951,0.961378,48828,122.768,2,1.48257e+008
419,2,3,5,5,2,1,2,5,14,1,0.963972,48828,114.996,1,1.00221e+008
421,2,2,5,7,1,4,1,7,16,1,0.966544,48828,114.996,4,1.00221e+008
423,3,2,6,5,3,1,0,0,18,0.970951,0.976098,48828,122.497,1,1.49049e+008
425,2,2,5,7,1,2,2,2,20,1,0.999993,48828,130.093,2,4.19412e+008
427,2,1,6,7,2,1,1,4,22,0.970951,0.986725,48828,130.103,1,3.20951e+008
429,2,1,6,7,1,3,0,6,24,0.970951,0.943645,48828,114.94,3,1.03703e+008
431,4,1,7,5,4,1,2,8,26,0.881291,0.979132,48828,122.474,1,5.6868e+008
433,2,3,5,5,1,2,1,1,1,1,0.922723,48828,107.276,2,7.97617e+007
435,2,2,6,5,2,1,0,3,3,0.970951,0.93843,48828,107.276,1,7.97617e+007
437,2,1,6,7,1,5,2,5,5,0.970951,0.963574,48828,114.602,5,8.90292e+007
439,3,1,7,5,3,1,1,7,7,0.881291,0.975504,48828,122.507,1,1.48092e+008
441,3,2,6,5,1,2,0,0,9,0.970951,0.941615,48828,107.276,2,7.97617e+007
443,3,1,7,5,2,1,2,2,11,0.881291,0.968297,48828,122.667,1,5.8479e+008
445,4,1,7,5,1,3,1,4,13,0.881291,0.972777,48828,122.256,3,2.05125e+008
447,6,1,8,3,6,1,0,6,15,0.721928,1.02626,48828,145.438,1,5.15697e+009
449,3,5,4,3,1,2,2,8,17,0.970951,0.96765,48828,122.231,2,1.39797e+008
451,3,4,5,3,2,1,1,1,19,1,1.00283,48828,130.073,1,2.90782e+008
453,3,3,5,5,1,4,0,3,21,1,0.895597,48828,92.1746,4,7.5325e+007
455,3,3,6,3,3,1,2,5,23,0.970951,0.965731,48828,122.173,1,2.32085e+008
457,3,2,5,5,1,2,1,7,25,1,0.955856,48828,114.959,2,9.2004e+007
459,3,2,6,5,2,1,0,0,0,0.970951,0.949879,48828,114.876,1,9.62429e+007
461,3,2,6,5,1,3,2,2,2,0.970951,0.915664,48828,107.272,3,8.29914e+007
463,4,2,7,3,4,1,1,4,4,0.881291,0.99299,48828,129.957,1,2.93754e+008
465,3,3,5,5,1,2,0,6,6,1,0.934008,48828,107.272,2,8.29914e+007
467,3,2,6,5,2,1,2,8,8,0.970951,0.973189,48828,122.47,1,1.75373e+008
469,3,1,6,7,1,7,1,1,10,0.970951,0.931524,48828,99.5925,7,7.61683e+007
471,3,1,7,5,3,1,0,3,12,0.881291,0.98455,48828,122.561,1,5.64814e+008
473,3,2,6,5,1,2,2,5,14,0.970951,0.945789,48828,107.117,2,8.10255e+007
475,3,1,7,5,2,1,1,7,16,0.881291,0.974549,48828,114.827,1,9.9989e+007
477,3,1,7,5,1,3,0,0,18,0.881291,0.927442,48828,107.117,3,8.10255e+007
479,5,1,8,3,5,1,2,2,20,0.721928,1.01418,48828,138.088,1,9.72514e+008
481,4,4,5,3,1,2,1,4,22,1,0.97573,48828,122.446,2,1.62006e+008
483,4,3,6,3,2,1,0,6,24,0.970951,0.931524,48828,99.5925,1,7.61683e+007
485,4,2,6,5,1,4,2,8,26,0.970951,0.978772,48828,122.453,4,5.56357e+008
487,4,2,7,3,3,1,1,1,1,0.881291,0.993363,48828,130.327,1,3.48574e+008
489,4,2,6,5,1,2,0,3,3,0.970951,0.990903,48828,129.972,2,3.43386e+008
491,4,1,7,5,2,1,2,5,5,0.881291,1.00795,48828,137.752,1,9.58493e+008
493,4,1,7,5,1,3,1,7,7,0.881291,0.942723,48828,114.516,3,9.54459e+007
495,4,1,8,3,4,1,0,0,9,0.721928,1.00803,48828,137.904,1,8.66934e+008
497,5,3,6,3,1,2,2,2,11,0.970951,0.935421,48828,107.034,2,7.86936e+007
499,5,2,7,3,2,1,1,4,13,0.881291,0.954109,48828,114.702,1,1.0029e+008
501,5,1,7,5,1,5,0,6,15,0.881291,0.96946,48828,114.824,5,9.50926e+007
